id,core_x,core_y,core_z,skin_x,skin_y,skin_z,note,u,v
1,9.81545,-3.98452,-2.76774,11.14857,-5.25733,-3.65186,,5.72864457592402,1.92475732171168
2,8.1012,-3.06593,-5.20807,9.28813,-4.13207,-7.01911,,5.75949318404021,2.28003710988168
3,2.21927,-7.16233,-3.26548,2.46644,-9.07826,-4.139,,4.91274569623062,1.99482870052985
4,2.13094,-5.1198,-5.99249,2.40223,-6.68511,-7.82462,,4.97869471909389,2.42189233558806
5,-0.47307,-2.41094,-7.62297,-0.53737,-3.19441,-10.10018,,4.58451980121968,2.83587969462418
6,-2.33393,-7.23789,-3.05908,-2.59071,-9.15067,-3.86751,,4.50411871744703,1.96651581120669
7,-3.47115,-4.75292,-6.03376,-3.9217,-6.23412,-7.91412,,4.2659869137734,2.42881666985645
8,-5.67567,-1.81704,-6.87514,-6.51216,-2.45585,-9.2922,,3.59597981459351,2.6041188862824
9,-8.14711,-3.24539,-5.06726,-9.36007,-4.39204,-6.8576,,3.68774021385183,2.25721720181241
10,-10.08207,-3.84977,-2.54111,-11.48363,-5.10487,-3.36957,,3.66913237758727,1.89468918855346
11,9.81545,3.98452,-2.76774,11.15987,5.26812,-3.65935,,0.554555144574524,1.92479097516805
12,8.1012,3.06593,-5.20807,9.30141,4.144,-7.03937,,0.523681325467772,2.28003026266548
13,2.21927,7.16233,-3.26548,2.46665,9.07986,-4.13973,,1.37045013743686,1.99482844273956
14,2.13094,5.1198,-5.99249,2.40237,6.68595,-7.8256,,1.30449028675391,2.42186913448327
15,-0.47307,2.41094,-7.62297,-0.53735,3.19416,-10.09939,,1.69867792103074,2.83585282042073
16,-2.33393,7.23789,-3.05908,-2.59194,9.15986,-3.8714,,1.77907229884779,1.96654615480913
17,-3.47115,4.75292,-6.03376,-3.9194,6.22657,-7.90454,,2.01723379521666,2.42880861794667
18,-5.67567,1.81704,-6.87514,-6.5019,2.44801,-9.26256,,2.68725347517852,2.60410667431754
19,-8.14711,3.24539,-5.06726,-9.33708,4.37031,-6.82367,,2.59542694246307,2.25719822916592
20,-10.08207,3.84977,-2.54111,-11.46739,5.09033,-3.35997,,2.61406348483978,1.89469153844912
21,6.57233,0.,-6.40938,7.3143,0.,-9.38526,flat surface,0.00,2.55459485090545
22,4.32191,-1.8519,-6.97047,5.04212,-1.8519,-9.85908,flat surface,5.7041370767316,2.69361173979559
23,4.32191,1.8519,-6.97047,5.04983,1.8519,-9.88999,flat surface,0.57905355332396,2.69361576982027
24,1.91326,0.,-7.57101,2.64671,0.,-10.51272,flat surface,0.00,2.9790977933024
-4,-6.18522,5.77446,-3.83273,-6.94395,7.46233,-4.95304,excitation,2.18286704089006,2.07275805853194
-3,6.10296,5.49263,-4.27661,6.87188,7.14189,-5.56073,excitation,0.941378219048786,2.13720437229297
-2,-6.18522,-5.77445,-3.83273,-6.94775,-7.4708,-4.95866,excitation,4.10030787058921,2.07270873123421
-1,6.10296,-5.49263,-4.27661,6.86883,-7.13535,-5.55564,excitation,5.3418059219349,2.13719304584833
