id,core_x,core_y,core_z,skin_x,skin_y,skin_z,note
,-0.00233393,-0.00305908,0.00723789,-0.00259194,-0.0038714,0.00915986,
,0.00221927,-0.00326548,0.00716233,0.00246665,-0.00413973,0.00907986,
,-0.01008207,-0.00254111,0.00384977,-0.01146739,-0.00335997,0.00509033,
,0.00981545,-0.00276774,0.00398452,0.01115987,-0.00365935,0.00526812,
,-0.00618522,-0.00383273,0.00577446,-0.00694395,-0.00495304,0.00746233,
,0.00610296,-0.00427661,0.00549263,0.00687188,-0.00556073,0.00714189,
,0.00213094,-0.00599249,0.0051198,0.00240237,-0.0078256,0.00668595,
,-0.00347115,-0.00603376,0.00475292,-0.0039194,-0.00790454,0.00622657,
,-0.00814711,-0.00506726,0.00324539,-0.00933708,-0.00682367,0.00437031,
,0.0081012,-0.00520807,0.00306593,0.00930141,-0.00703937,0.004144,
,-0.00047307,-0.00762297,0.00241094,-0.00053735,-0.01009939,0.00319416,
,-0.00567567,-0.00687514,0.00181704,-0.0065019,-0.00926256,0.00244801,
,-0.00567567,-0.00687514,-0.00181704,-0.00651216,-0.0092922,-0.00245585,
,-0.00047307,-0.00762297,-0.00241094,-0.00053737,-0.01010018,-0.00319441,
,0.0081012,-0.00520807,-0.00306593,0.00928813,-0.00701911,-0.00413207,
,-0.00814711,-0.00506726,-0.00324539,-0.00936007,-0.0068576,-0.00439204,
,-0.00347115,-0.00603376,-0.00475292,-0.0039217,-0.00791412,-0.00623412,
,0.00213094,-0.00599249,-0.0051198,0.00240223,-0.00782462,-0.00668511,
,0.00610296,-0.00427661,-0.00549263,0.00686883,-0.00555564,-0.00713535,
,-0.00618522,-0.00383273,-0.00577445,-0.00694775,-0.00495866,-0.0074708,
,0.00981545,-0.00276774,-0.00398452,0.01114857,-0.00365186,-0.00525733,
,-0.01008207,-0.00254111,-0.00384977,-0.01148363,-0.00336957,-0.00510487,
,0.00221927,-0.00326548,-0.00716233,0.00246644,-0.004139,-0.00907826,
,-0.00233393,-0.00305908,-0.00723789,-0.00259071,-0.00386751,-0.00915067,
,0.00432191,-0.00697047,0.0018519,0.00504983,-0.00988999,0.0018519,flat surface
,0.00657233,-0.00640938,0,0.0073143,-0.00938526,0,flat surface
,0.00191326,-0.00757101,0,0.00264671,-0.01051272,0,flat surface
,0.00432191,-0.00697047,-0.0018519,0.00504212,-0.00985908,-0.0018519,flat surface
